id;start;jhi_end;annotation_text
1;2020-05-06T03:17:00;2020-05-05T17:09:19;Fish multi-byte Savings Account
2;2020-05-06T01:34:20;2020-05-06T08:31:42;Practical Fresh Pants
3;2020-05-05T21:50:44;2020-05-06T08:50:36;deposit Tasty Metal Bacon Implementation
4;2020-05-06T12:15:12;2020-05-06T07:54:30;Soap methodology Albania
5;2020-05-06T01:54:20;2020-05-06T11:43:07;Namibia
6;2020-05-06T02:40:32;2020-05-06T08:55:27;zero administration
7;2020-05-06T03:28:46;2020-05-06T06:41:08;Licensed Savings Account
8;2020-05-06T03:05:35;2020-05-05T23:55:50;Mississippi Refined Rubber Chicken Table
9;2020-05-06T10:42:39;2020-05-06T11:57:13;Usability South Dakota envisioneer
10;2020-05-06T11:53:20;2020-05-06T09:55:41;Nakfa
