id;name;source_file;source_file_content_type
1;mobile Fish;../fake-data/blob/hipster.png;image/png
2;Home Loan Account Table Computer;../fake-data/blob/hipster.png;image/png
3;Trace;../fake-data/blob/hipster.png;image/png
4;Savings Account alarm;../fake-data/blob/hipster.png;image/png
5;Tasty Metal Bacon;../fake-data/blob/hipster.png;image/png
6;red Chips Soap;../fake-data/blob/hipster.png;image/png
7;Home Loan Account;../fake-data/blob/hipster.png;image/png
8;web-readiness;../fake-data/blob/hipster.png;image/png
9;Namibia;../fake-data/blob/hipster.png;image/png
10;Steel zero administration;../fake-data/blob/hipster.png;image/png
